"Time(s)", "Thrust (N)"
0.047607,977.16
0.04764,984
0.047674,978
0.047708,978
0.047741,976.92
0.047774,976.32
0.047808,976.92
0.047841,976.32
0.047875,977.4
0.047908,977.4
0.047941,977.4
0.047975,973.68
0.048009,973.68
0.048042,973.68
0.048075,970.32
0.048108,949.2
0.048142,946.92
0.048176,944.4
0.048207,940.8
0.048242,939.48
0.048276,939.48
0.048309,935.88
0.048343,935.88
0.048375,927.96
0.048411,927.96
0.048443,933.24
0.048476,934.32
0.048514,934.32
0.048541,934.32
0.048576,938.4
0.04861,938.4
0.048643,953.4
0.048676,953.4
0.04871,943.56
0.048743,943.56
0.048777,961.08
0.048811,963.72
0.048843,961.08
0.048877,962.04
0.048911,956.4
0.048944,950.16
0.048978,945.12
0.04901,944.16
0.049044,944.16
0.049078,961.08
0.049111,966
0.049144,977.52
0.049178,977.52
0.049211,964.8
0.049245,962.76
0.049278,960.36
0.049311,961.08
0.049343,961.08
0.049378,961.08
0.049415,942
0.049445,941.76
0.049478,928.8
0.049512,941.76
